School Name,Address,Latitude,Longitude,Postal Code,,
George Washington High School,,41.6946,-87.5357,60633,,
Harriet Beecher Stowe Elementary School,,41.8918,-87.7043,60622,,
Helen M Hefferan Elementary School,,41.8776,-87.7229,60624,,
James Russell Lowell Elementary School,,41.8302,-87.6963,60623,,
Jane Addams Elementary School,,41.8752,-87.6926,60612,,
John Fiske Elementary School,,41.7921,-87.6118,60637,,
John H Hamline Elementary School,,41.8478,-87.6857,60608,,
John Palmer Elementary School,,41.9684,-87.7265,60630,,
John W Cook Elementary School,,41.8064,-87.6735,60636,,
Kenwood Academy High School,,41.8015,-87.6022,60615,,
Lawndale Elementary Community Academy,,41.8564,-87.7171,60623,,
Lyman A Budlong Elementary School,,41.9762,-87.6995,60625,,
Mariano Azuela Elementary School,,41.8669,-87.7132,60623,,
Neal F Simeon Career Academy High School,,41.7433,-87.6413,60628,,
Noble - Butler College Prep,,41.7847,-87.6154,60649,,
Noble - Gary Comer College Prep,,41.7446,-87.5663,60649,,
North-Grand High School,,41.9182,-87.7091,60647,,
Oliver S Westcott Elementary School,,41.8013,-87.6061,60615,,
Paul Cuffe Math-Science Technology Academy ES,,41.8679,-87.7218,60623,,
Phillip Murray Elementary Language Academy,,41.7695,-87.5753,60649,,
Richard Yates Elementary School,,41.8923,-87.7063,60622,,
Roberto Clemente Community Academy High School,,41.9067,-87.6972,60647,,
Roger C Sullivan High School,,41.9891,-87.6732,60626,,
Sidney Sawyer Elementary School,,41.8319,-87.7083,60623,,
Urban Prep Academy for Young Men - Bronzeville,,41.8042,-87.6178,60615,,
Walter Payton College Preparatory High School,,41.8997,-87.6321,60610,,
Wendell Phillips Academy High School,,41.8103,-87.6178,60653,,
William Howard Taft High School,,41.9748,-87.8035,60630,,
