RRB Number,Study Title,PI Organization,Primary Funding Source,Amount of Funding Awarded
2024-1984,"Acceler ating Adoption Network Ev aluation: LEAP Inno vations’
LEAP Learning Initiativ e Customiz ed Pilot Network Progr am",Mathematica,The Learning Acceler ator,"999,779.00"
2022-1393,"Comprehensiv e Evaluation of the North La wndale Early Liter acy
Initiativ e",Not Found,Steans F amily F oundation,"100,000.00"
2022-1809,"Black Girls Mo ve: A Daughter/Mother Interv ention to Prev ent
Obesit y by Increasing Ph ysical Activit y and Impro ving Dietary
Intake among Black Adolescent Daughters",Not Found,National Institute of Health,"964,308.00"
2023-1877,"Engaging Chicago Public Schools Students in P articipatory -
Action En vironmental R esearch",Not Found,Emory Univ ersity,"10,000.00"
2023-1871,Health y Smile Health y Growth (HSHG) 2023-2024.,Not Found,Health R esources and Services Administr ation,"70,000.00"
2022-1771,"BECOME Ev aluation of Bo ys and Girls Club of Chicago 21st
Century Communit y Learning Centers",Not Found,21st Century Communit y Learning Centers,"1,528,500.00"
2024-1977,Whole School Safet y Planning: SROs and Local Control,University of Chicago,"Pritzk er-Puck er, Crown F amily Philanthropies, Circle of Service, Stone F oundation","500,000.00"
2024-1982,"Career Dev elopment in Chicago Public Schools: Adv ancing Equit y in Opportunities
and Outcomes (IES CTE R esearch Network)",UC CCSR,Institute of Education Sciences NCER,"3,187,305.00"
2024-1950,"Research-Pr actice P artnership: Collabor ating on Implementation
of Pre-K - 8 W riting Data-Based Decision Making to Address
Continuous Impro vement W ork Plan Goals",University of Illinois Urbana-Champaign,Not Found,Not Found
2024-1939,"Exploring the meso lev el factors and actors that impact on education policy
development, mediation and enactment in the Chicago Public School (CPS)
system.",North western Univ ersity,Not Found,Not Found
2024-1941,"Elementary T eachers’ P erspectiv es on Instructional Str ategies
Used with English Language Learners with Individual Education
Plans: A Basic Qualitativ e Study",American College of Education,Not Found,Not Found
2022-1796,Urban Initiativ es OST Progr am Ev aluation,Urban Initiativ es,Not Found,Not Found
2022-1782,LSNA - 21CCL C. This is not a research project.,Consultant,ISBE,"150,000.00"
2024-1942,Teacher Induction: A Discussion of Pr actice,Aurora Univ ersity,Not Found,Not Found
2020-1519,Math for All Scale Up Study,Not Found,US Dept. Of Education,"7,800,000.00"
2023-1855,National T eacher and Principal Surv ey (NTPS),Not Found,Not Found,Not Found
2024-1994,CAFÉCS: AP CSP Access for All,The Learning P artnership,NSF,"1,061,469.00"
2021-1351,Synergistic Learning Through Y outh P articipatory Science,Not Found,National Science F oundation,"449,852.00"
2021-1644,Developing a Best -FIt Fr amework for P ostsecondary Success,UC Inclusiv e Econom y Lab,Crown F amily Philanthropies,"200,000.00"
2022-1791,Second Step Out -of-School Time Progr am Ev aluation,Not Found,Committee for Children,"600,000.00"
2023-1870,"The Early Childhood Longitudinal Study , Kindergarten Class of
2023-24 (ECLS-K:2024)",Not Found,"U.S. Department of Education, Institute for Education Sciences, National
Center for Education Statistics","74,166,745.00"
2024-1948,Math for All Expansion Gr ant,Education Dev elopment Center,US Dept of Education,"15,000,000.00"
2023-1862,"A Qualitativ e Study of T eacher P erceptions of Student
Engagement in Gr ades K -12",Parker Academ y,Not Found,Not Found
2022-5100,"Enlace Chicago: FY22 21st Century Communit y Learning
Centers Local Annual Ev aluation",Not Found,Illinois School Board of Education,"900,000.00"
2024-1980,"K12 TEACHER INTENTION T O USE A MAKERSP ACE: AN
ANALYSIS USING THE UNIFIED THEOR Y OF ACCEPT ANCE AND
USE OF TECHNOL OGY",Northern Illinois Univ ersity,Not Found,Not Found
2022-1507,"Ready, Set, Go! A Ph ysical Fitness Interv ention for Children with
Mobilit y Challenges",Not Found,Alliance for R esearch In Chicagoland Communities,"27,000.00"
2024-1951,"Teaching Care: Building a history curricular libr ary of Chicago’ s
Black nurses",UIC,"""National Archiv es and R ecords Administr ation - National Historical
Publications and R ecords Commission ""","125,038.00"
2022-1790,"Disrupting T raditional T eaching: Exploring What T eachers Need
to Learn and Unlearn to Shift to Competency -Based and
Cultur ally R esponsiv e Assessment Pr actice",Not Found,Not Found,Not Found
2024-1935,CPS New Arriv als Project,UC Inclusiv e Econom y Lab,Not Found,Not Found
2024-1946,"Your Light and Air: Lev eraging Civic Science to Adv ance High Need,
Grade 6-8 Students' Science Learning Through In vestigations",American Institutes for R esearch,"Office of Elementary and Secondary Education (OESE), U .S. Department of Education","3,996,906.00"
2022-1832,"Understanding i-R eady Implementation in Chicago Public Schools Network 6 K -
2 Classrooms",Not Found,Not Found,Not Found
2023-1856,"Vocabulary Dev elopment: The Connection and Intersection of
Structured Liter acy Instruction and Cultur ally R esponsiv e
Discourse Activities",Not Found,Not Found,Not Found
2023-1841,"The Impact of Principal Leadership Beha viors on T eacher's
Decisions to Continue T eaching or R esign",American College of Education,Not Found,Not Found
2024-1993,"Recommendations for Solving the Problem of Low Achiev ement
Scores in English Language Arts on the Illinois Assessments of
Readiness Among Gifted Students at Carnegie Elementary
School in Illinois",Libert y Univ ersity,Not Found,Not Found
2024-1992,Water infr astructure citiz en science,Illinois Institute of T echnology,National Science F oundation,"750,000.00"
2023-1853,Education and Communit y Planning in Chicago,Not Found,Not Found,Not Found
2024-1937,"Lift as Y ou Climb: Y outh Leadership and R esearch for Social
Justice & Civic Engagement",DePaul Univ ersity,Not Found,Not Found
2024-1920,"Saliendo Adelante: Supporting Newcomer Y outh in Communit y
Progr am",University of Illinois Chicago,"American Psy chological Association, Division 53","5,000.00"
2020-1619,"Collabor ative: Connecting Contexts: Building F oundational Priv acy
and Securit y Skills for Elementary School Childre, T eachers, and
Parents",University of Chicago,National Science F oundation,"167,259.00"
2023-1854,"The Impact of Choice-based Visual Art Education on T eaching
Color Theory V ocabulary","Western Go vernors Univ ersity, Chicago Public Schools",Not Found,Not Found
2024-1991,Monitoring The Future: a continuing study of American y outh,Institute for Social R esearch - Univ ersity of Michigan,National Institutes of Health,"5,800,000.00"
2024-2004,"Evaluation of ""Impro ving Adolescent Health and W ell-Being Through
School-Based Surv eillance and the What W orks in Schools Progr am""",University of Illinois Chicago School of Public Health,"Centers for Disease Control and Prev ention Division of Adolescent and School
Health; CDC -RFA-DP-24-0139:","100,000.00"
